Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Bread,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Jam,Frittata,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Tea,Coffee,Muffin,Fudge,0,0,0,0,0,0
Frittata,Coffee,Bread,0,0,0,0,0,0,0
Coffee,Cake,0,0,0,0,0,0,0,0
Tartine,Bread,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Medialuna,Coffee,0,0,0,0,0,0,0
Juice,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coke,Bread,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Pastry,Farm House,0,0,0,0,0,0,0
Pastry,Coffee,Juice,0,0,0,0,0,0,0
Pastry,Coffee,Juice,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,Bread,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Medialuna,Coffee,Muffin,0,0,0,0,0,0,0
Tea,Coffee,Cake,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Farm House,Muffin,0,0,0,0,0,0,0,0
Pastry,Muffin,Bread,0,0,0,0,0,0,0
Pastry,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,Cake,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
My-5 Fruit Shoot,Cookies,Coffee,Cake,0,0,0,0,0,0
Tea,Pastry,Cookies,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Cookies,0,0,0,0,0,0,0,0,0
Jam,Coffee,Juice,0,0,0,0,0,0,0
Coffee,Soup,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Tartine,Coffee,Tea,0,0,0,0,0,0,0
Coffee,Cake,0,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Tea,Pick and Mix Bowls,Cookies,Juice,0,0,0,0,0,0
Hearty & Seasonal,Soup,0,0,0,0,0,0,0,0
Tea,Farm House,Hearty & Seasonal,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,Soup,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Coffee,Hearty & Seasonal,Soup,0,0,0,0,0,0,0
Hearty & Seasonal,Muffin,Bread,0,0,0,0,0,0,0
Cookies,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,Muffin,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Hearty & Seasonal,Soup,0,0,0,0,0,0,0,0
Tea,Coffee,Focaccia,0,0,0,0,0,0,0
Sandwich,0,0,0,0,0,0,0,0,0
Tartine,Coffee,0,0,0,0,0,0,0,0
Coffee,Fudge,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coke,Soup,0,0,0,0,0,0,0,0
Muffin,0,0,0,0,0,0,0,0,0
Tea,Cookies,Coffee,Muffin,0,0,0,0,0,0
Coke,Coffee,Hearty & Seasonal,Mighty Protein,0,0,0,0,0,0
Tea,Sandwich,Muffin,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Hot chocolate,Cookies,Bread,0,0,0,0,0,0,0
Mineral water,Muffin,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Muffin,0,0,0,0,0,0,0,0,0
Coffee,Juice,0,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Sandwich,Mineral water,Hearty & Seasonal,Bread,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Mineral water,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Soup,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Muffin,Bread,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Cookies,Coffee,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Jam,Tea,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Pastry,Ellas Kitchen Pouches,0,0,0,0,0,0,0,0
Pastry,0,0,0,0,0,0,0,0,0
Tea,Farm House,0,0,0,0,0,0,0,0
Tea,Victorian Sponge,0,0,0,0,0,0,0,0
Tea,Pastry,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Tea,Soup,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Scandinavian,Bread,0,0,0,0,0,0,0,0
Cookies,Cake,Bread,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Cookies,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Scandinavian,Bread,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Pastry,Coffee,Scandinavian,0,0,0,0,0,0,0
Coffee,Hearty & Seasonal,Muffin,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Coffee,Soup,0,0,0,0,0,0,0,0
Tartine,Cookies,Coffee,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Tartine,Coffee,0,0,0,0,0,0,0,0
Cookies,Bread,0,0,0,0,0,0,0,0
Sandwich,0,0,0,0,0,0,0,0,0
Tartine,0,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Scandinavian,Bread,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Alfajores,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coke,Coffee,Soup,0,0,0,0,0,0,0
Cake,0,0,0,0,0,0,0,0,0
Tea,Sandwich,Soup,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Hearty & Seasonal,Bread,0,0,0,0,0,0,0,0
Alfajores,0,0,0,0,0,0,0,0,0
Cake,0,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Tea,Coffee,Bread,Soup,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Sandwich,Coffee,0,0,0,0,0,0,0,0
Tea,Pastry,Cookies,Bread,0,0,0,0,0,0
Muffin,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Jam,Tea,0,0,0,0,0,0,0,0
Tea,Alfajores,Juice,0,0,0,0,0,0,0
Coffee,Muffin,Cake,Soup,0,0,0,0,0,0
Hot chocolate,Coffee,Cake,0,0,0,0,0,0,0
Cookies,Cake,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Alfajores,Coffee,Juice,0,0,0,0,0,0,0
Tea,Coffee,Soup,0,0,0,0,0,0,0
Hot chocolate,0,0,0,0,0,0,0,0,0
Cookies,0,0,0,0,0,0,0,0,0
Medialuna,Coffee,0,0,0,0,0,0,0,0
Eggs,Bread,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Medialuna,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Pastry,Coffee,Bread,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Pastry,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Pastry,Hot chocolate,Coffee,0,0,0,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Farm House,Alfajores,Coffee,0,0,0,0,0,0,0
Tea,Pastry,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Tea,Pastry,Coffee,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,Bread,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Coffee,Bread,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Farm House,Coffee,0,0,0,0,0,0,0,0
Farm House,Pastry,0,0,0,0,0,0,0,0
Alfajores,Juice,Bread,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Alfajores,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Cookies,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Cookies,0,0,0,0,0,0,0,0,0
Hearty & Seasonal,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Jam,Bread,Tartine,0,0,0,0,0,0,0
Farm House,Scandinavian,0,0,0,0,0,0,0,0
Coffee,Hearty & Seasonal,Muffin,Scandinavian,0,0,0,0,0,0
Tartine,Pick and Mix Bowls,Coke,Coffee,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Farm House,Alfajores,Coffee,Scandinavian,0,0,0,0,0,0
Mineral water,Juice,Soup,0,0,0,0,0,0,0
Tea,Soup,0,0,0,0,0,0,0,0
Tea,Cookies,Juice,Soup,0,0,0,0,0,0
Tea,Hearty & Seasonal,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Mineral water,Coffee,Juice,Soup,0,0,0,0,0,0
Hearty & Seasonal,0,0,0,0,0,0,0,0,0
Smoothies,Hearty & Seasonal,0,0,0,0,0,0,0,0
Tea,Hearty & Seasonal,0,0,0,0,0,0,0,0
Sandwich,Coffee,0,0,0,0,0,0,0,0
Farm House,Cookies,0,0,0,0,0,0,0,0
Tea,Juice,Soup,0,0,0,0,0,0,0
Soup,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,Cookies,0,0,0,0,0,0,0,0
Hearty & Seasonal,Bread,Soup,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Tea,Soup,0,0,0,0,0,0,0,0
Juice,0,0,0,0,0,0,0,0,0
Alfajores,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Alfajores,Coffee,0,0,0,0,0,0,0,0
Pick and Mix Bowls,Mineral water,Juice,Alfajores,Cookies,0,0,0,0,0
Alfajores,Coffee,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Juice,Mighty Protein,0,0,0,0,0,0,0,0
Mineral water,Alfajores,Coffee,0,0,0,0,0,0,0
Coffee,Mighty Protein,0,0,0,0,0,0,0,0
Alfajores,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Medialuna,0,0,0,0,0,0,0,0,0
Medialuna,Bread,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Medialuna,0,0,0,0,0,0,0,0,0
Tea,Sandwich,Bread,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Jam,Farm House,Coffee,0,0,0,0,0,0,0
Focaccia,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tartine,Pastry,My-5 Fruit Shoot,Bread,0,0,0,0,0,0
Farm House,Pastry,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Tea,Coffee,Bread,0,0,0,0,0,0,0
Jam,0,0,0,0,0,0,0,0,0
Pastry,Medialuna,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Pastry,0,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Brownie,Alfajores,Coffee,Fudge,0,0,0,0,0,0
Cookies,Bread,Fudge,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Jam,Pastry,Coffee,0,0,0,0,0,0,0
Coffee,Soup,0,0,0,0,0,0,0,0
Hearty & Seasonal,Smoothies,Pastry,Soup,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Pastry,Medialuna,0,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Cookies,Bread,0,0,0,0,0,0,0,0
Sandwich,Pick and Mix Bowls,Focaccia,Coffee,Hearty & Seasonal,Bread,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Sandwich,Brownie,Coffee,0,0,0,0,0,0,0
Brownie,Cookies,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Sandwich,Coffee,Bread,0,0,0,0,0,0,0
Hot chocolate,Coffee,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Sandwich,Brownie,Coffee,0,0,0,0,0,0,0
Farm House,Brownie,Pastry,Focaccia,0,0,0,0,0,0
Focaccia,Cake,0,0,0,0,0,0,0,0
Mineral water,Hearty & Seasonal,Soup,0,0,0,0,0,0,0
Hearty & Seasonal,0,0,0,0,0,0,0,0,0
Hearty & Seasonal,0,0,0,0,0,0,0,0,0
Pastry,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Cake,0,0,0,0,0,0,0,0
Coffee,Soup,0,0,0,0,0,0,0,0
Focaccia,Bread,Fudge,0,0,0,0,0,0,0
Alfajores,Hot chocolate,Coffee,0,0,0,0,0,0,0
Brownie,Pastry,Cake,0,0,0,0,0,0,0
Alfajores,Medialuna,Dulce de Leche,0,0,0,0,0,0,0
Alfajores,Dulce de Leche,0,0,0,0,0,0,0,0
Cake,Bread,0,0,0,0,0,0,0,0
Coffee,Cake,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Sandwich,0,0,0,0,0,0,0,0,0
Alfajores,Medialuna,Coffee,Bread,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Alfajores,Bread,0,0,0,0,0,0,0,0
Tea,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Dulce de Leche,0,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Juice,Ellas Kitchen Pouches,Brownie,Alfajores,Coffee,0,0,0,0,0
Alfajores,0,0,0,0,0,0,0,0,0
Juice,Brownie,Alfajores,Cookies,Bread,0,0,0,0,0
Cookies,Cake,0,0,0,0,0,0,0,0
Pick and Mix Bowls,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Farm House,Focaccia,0,0,0,0,0,0,0,0
Dulce de Leche,0,0,0,0,0,0,0,0,0
My-5 Fruit Shoot,Cookies,Juice,Ellas Kitchen Pouches,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Hot chocolate,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Medialuna,0,0,0,0,0,0,0,0,0
Tea,Bread,Jam,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Medialuna,Coffee,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Medialuna,0,0,0,0,0,0,0,0
Jam,Coffee,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Hot chocolate,0,0,0,0,0,0,0,0,0
Medialuna,Bread,0,0,0,0,0,0,0,0
Jam,Bread,0,0,0,0,0,0,0,0
Jam,Bread,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Farm House,Bread,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Tea,Pastry,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Pastry,Brownie,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Cookies,Coffee,Honey,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Brownie,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
The BART,Bread,0,0,0,0,0,0,0,0
Brownie,Coffee,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Brownie,Coffee,0,0,0,0,0,0,0,0
Tartine,Mineral water,Coffee,0,0,0,0,0,0,0
Brownie,Coffee,0,0,0,0,0,0,0,0
Brownie,Juice,0,0,0,0,0,0,0,0
Tea,Medialuna,Jam,Pastry,Alfajores,Coffee,Bread,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Pick and Mix Bowls,Coffee,0,0,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Mineral water,Coffee,Scandinavian,Soup,0,0,0,0,0,0
Sandwich,Mineral water,Pick and Mix Bowls,Juice,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Coffee,Hearty & Seasonal,0,0,0,0,0,0,0,0
Mineral water,Coffee,Hearty & Seasonal,Bread,0,0,0,0,0,0
Tartine,Brownie,Sandwich,Coffee,0,0,0,0,0,0
Brownie,Coffee,0,0,0,0,0,0,0,0
Tartine,Alfajores,Coffee,0,0,0,0,0,0,0
Coffee,Mighty Protein,0,0,0,0,0,0,0,0
Hot chocolate,Coffee,0,0,0,0,0,0,0,0
Jam,Coffee,Soup,0,0,0,0,0,0,0
Mineral water,Brownie,0,0,0,0,0,0,0,0
Coffee,Scandinavian,0,0,0,0,0,0,0,0
Coffee,Scandinavian,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Brownie,Hot chocolate,Coffee,Hearty & Seasonal,0,0,0,0,0,0
Tea,Cake,0,0,0,0,0,0,0,0
Medialuna,0,0,0,0,0,0,0,0,0
Tea,Alfajores,Coffee,0,0,0,0,0,0,0
Brownie,Alfajores,Coffee,Juice,0,0,0,0,0,0
Sandwich,Coffee,0,0,0,0,0,0,0,0
Bread,Soup,0,0,0,0,0,0,0,0
Bread,Soup,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Tea,Brownie,Cookies,0,0,0,0,0,0,0
Brownie,Coffee,Bread,0,0,0,0,0,0,0
Brownie,0,0,0,0,0,0,0,0,0
Jam,Cookies,Bread,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Tea,Brownie,0,0,0,0,0,0,0,0
Alfajores,Medialuna,Scandinavian,0,0,0,0,0,0,0
Alfajores,Hot chocolate,Cookies,Coffee,0,0,0,0,0,0
Brownie,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Tea,Brownie,0,0,0,0,0,0,0,0
Dulce de Leche,Fudge,0,0,0,0,0,0,0,0
Scandinavian,Granola,Pastry,Coffee,Bread,Fudge,0,0,0,0
Bread,Fudge,0,0,0,0,0,0,0,0
Hot chocolate,Medialuna,Coffee,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Medialuna,Bread,0,0,0,0,0,0,0,0
Jam,Medialuna,Coffee,Bread,0,0,0,0,0,0
Jam,Brownie,Coffee,0,0,0,0,0,0,0
Jam,Coffee,Bread,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Cookies,Coffee,0,0,0,0,0,0,0,0
Coffee,Scandinavian,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Jam,Brownie,Coffee,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
